0	1	2	3	4	5	6	7	8	9	10	11	12	13	14	15	16	17	18	19	20	21	22	23	24	25	26	27	28	29	30	31
0.307	0.903	0	0	0.307	0.903	0	0	0.031	0.031	0	0	0.031	0.031	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.118	0.118	0	0	0.118	0.118	0	0	0.118	0.118	0	0	0.118	0.118	0	0	0.44	0.711	0	0	0.44	0.711	0	0	0.44	0.711	0	0	0.44	0.711	0	0
0	0	0	0	0.057	0.057	0	0	0	0	0	0	0.057	0.057	0	0	0	0	0	0	0.417	0.862	0	0	0	0	0	0	0.417	0.862	0	0
0	0	0	0	0.1	0	0.983	0	0	0	0	0	0.018	0	0.018	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.07	0	0.57	0	0.07	0	0.57	0	0.037	0	0.037	0	0.037	0	0.037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0.394	0.979	0	0	0	0	0	0	0.394	0.979	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0.945	0	0	0	0	0	0	0	0.041	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.286	0.428	0	0	0.286	0.825	0	0	0.019	0.019	0	0	0.019	0.019	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.057	0.057	0	0	0.057	0.057	0	0	0.057	0.057	0	0	0.057	0.057	0	0	0.369	0.434	0	0	0.369	0.87	0	0	0.369	0.434	0	0	0.369	0.87	0	0
0	0	0	0	0.061	0.061	0	0	0	0	0	0	0.061	0.061	0	0	0	0	0	0	0.358	0.917	0	0	0	0	0	0	0.358	0.917	0	0
0	0	0	0	0.052	0	0.153	0	0	0	0	0	0.051	0	0.051	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.123	0	0.729	0	0.123	0	0.729	0	0.042	0	0.042	0	0.042	0	0.042	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0.435	0.884	0	0	0	0	0	0	0.435	0.884	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0.955	0	0	0	0	0	0	0	0.037	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.264	0.264	0	0	0.502	0.647	0	0	0.107	0.107	0	0	0.107	0.107	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.019	0.019	0	0	0.019	0.019	0	0	0.019	0.019	0	0	0.019	0.019	0	0	0.073	0.073	0	0	0.073	0.073	0	0	0.073	0.073	0	0	0.073	0.073	0	0
0	0	0	0	0.042	0.042	0	0	0	0	0	0	0.042	0.042	0	0	0	0	0	0	0.21	0.414	0	0	0	0	0	0	0.21	0.414	0	0
0	0	0	0	0.052	0	0.153	0	0	0	0	0	0.005	0	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.042	0	0.042	0	0.076	0	0.74	0	0.005	0	0.005	0	0.005	0	0.005	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0.149	0.126	0	0	0	0	0	0	0.149	0.126	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0.754	0	0	0	0	0	0	0	0.008	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.001	0.001	0	0	0.34	0.467	0	0	0.001	0.001	0	0	0.001	0.001	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.025	0.005	0	0	0.025	0.005	0	0	0.025	0.005	0	0	0.025	0.005	0	0	0.077	0.005	0	0	0.077	0.005	0	0	0.077	0.005	0	0	0.077	0.005	0	0
0	0	0	0	0.02	0.016	0	0	0	0	0	0	0.02	0.016	0	0	0	0	0	0	0.088	0.016	0	0	0	0	0	0	0.088	0.016	0	0
0.016	0	0	0	0.516	0	0	0	0.016	0	0	0	0.097	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.078	0	0.102	0	0.078	0	0.658	0	0.02	0	0.02	0	0.02	0	0.02	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0.067	0.002	0	0	0	0	0	0	0.067	0.002	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0.598	0	0	0	0	0	0	0	0.253	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
REC#4																															
0.992	0.992	0	0	1	1	0	0	0.029	0.029	0	0	0.029	0.029	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.075	0.075	0	0	0.075	0.075	0	0	0.075	0.075	0	0	0.075	0.075	0	0	0.999	0.993	0	0	0.999	0.993	0	0	0.999	0.993	0	0	0.999	0.993	0	0
0	0	0	0	0.072	0.072	0	0	0	0	0	0	0.072	0.072	0	0	0	0	0	0	0.994	0.993	0	0	0	0	0	0	0.994	0.993	0	0
0	0	0	0	0.103	0	0.985	0	0	0	0	0	0.034	0	0.034	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0.102	0	0.989	0	0.102	0	0.989	0	0.028	0	0.028	0	0.028	0	0.028	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0.998	0.998	0	0	0	0	0	0	0.998	0.998	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
0	0	0	0	0.999	0	0	0	0	0	0	0	0.03	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
